userid,n_status,gender,neu
a7eab64c3addf958ba81f8ce4153e646,149,1,3.70
f24cb4fbc0f958ea58f818a7b37c73da,71,1,3.80
783e4c754d8e2518bb3a69de8df8c9bb,33,1,3.85
4541f8dc01b2b0961aa29c27bcb8966f,48,0,2.85
a757bca23b7987aef804ae70e104b87b,71,1,2.40
53b3bff4726ed8289f4da5685a215ea9,371,0,2.70
7c8eea86a11c2706718b957c5a355966,253,1,3.75
24737524ccca34488d3ef9f3f13968b9,19,0,2.50
b359344c073f3fcd4498f1dfba1c70d1,37,0,3.05
6497f553b0b9caf8927b54032673a5be,191,1,4.75
293b4563a092cfb9a6c8fb22819d6c6a,147,0,1.60
cca5be9ddc2d5ca1799c2be7d1d3dcb7,64,1,1.15
985575b2fbdb18c30246334705fd305e,180,0,1.45
e6eec87f7382c2a1a78972ef1916fa34,237,0,3.90
b59e5cd03ff487ba9106bacc87f1b02a,676,0,3.00
408fbd866e4aed0c3783e4a6e14b00d5,497,0,1.95
1e77b65a15d22e4a3c3a1e2a6ac6f999,8,1,3.05
7e54a1e420a903bb87f77a2fc3a7f563,98,1,2.20
fdcb80141411b69442a53e8d65c34126,28,1,3.55
5f35a7b1cb3c0be67bcb43b638906a2c,137,0,3.00
83e7920ad09f25c6356366acc71a3a1c,183,1,3.00
6d2f34fc7c7e02efe2bd0b472e4bcc68,11,1,3.35
4b006dcab6a5b1df3c0f0cc67965b99b,20,1,3.11
cb0720d036265f12267de73343b36442,18,0,3.55
f15d9a59f56d0f968e2a0e32dc91775e,88,1,3.35
b5216de11cb6bd140c4a12245e6f6a1b,739,0,2.55
6e97a891949856e49e36502cee8ce2ff,417,1,2.70
0e30881fe52b568d2b8b24f03c002190,191,1,3.45
955e04e734cbf460623bd376c138a12b,105,1,3.25
a0072ae98435d2b303ef5dc554856c40,376,1,2.90
e8b7bc98903d215879dba72a821ee0ef,33,0,2.70
a2a674171aaf9bf760c4be8d4d2ab627,135,0,1.90
3cde9151fdd376ed1ee22d30221fb707,116,1,3.65
ca1be3e2112a578b96c21037d29b6dad,26,1,3.10
3efefe96c0171f440624f278b73ac98b,118,1,2.65
40bc0611fbc9e052d8220abe0ba3046e,118,1,3.30
043f6abea57838bdef28f6daefa8f645,82,0,2.50
5fa11ba570db6d80b05f9524c07fd7a9,9,0,2.63
0b2ac76cbfb734d39ed2ecd49a1911cc,183,0,1.95
2d3b559c460f8b9680867d0f6b0fad19,275,0,1.50
587de638aa3cd3508b08ea6851089fb2,16,0,1.40
db28c43d7423d52e8fc83e37aa853710,319,0,2.40
8f4d1b2a2dffb88c731ee57b86ef8762,56,0,3.00
d99a528e775d8ede7131a9f4e2c00397,76,0,1.25
b5be409ca078c27113dd6789bc43523a,6,0,1.75
41c2a80bceb78eb3b09b65706e132822,49,0,1.95
fa07d07eb728504e8a51a1b0816f1a73,505,1,2.95
1bc12e804165160c4d283fce30436886,6,0,2.35
d26fa5c15a3a040d216ed844a20220b5,262,0,3.15
f349abe374973427bfa7ef9e27bfcc58,131,1,3.25
b311c3b5c0b5a9a0f26508f97f6cdb6f,183,0,3.35
e4d838066df6b7189ba335d8126d3935,255,1,2.35
c031931ea79269fab22a67328e87fa0b,137,1,2.89
c23b639a0736b51766728303475125a7,84,0,2.95
f92f8988b349170dab5a6ca8e726708d,99,0,2.85
4a7ab8f13473d9a79c315c173f53c02a,57,1,1.70
02d226f8c59404bb719b3810d4f65ab6,205,1,4.30
75e28d90034e46ee32a57c8e6f1cf811,211,1,4.50
a00b82ae17aab99503c3b8d395be588e,67,1,3.95
bd4423b3bf52dce6c8d63a4a74b1d926,105,1,2.30
7f9b4582477e4068b14fc2d238ede7ed,79,0,2.95
d6b710413d01d8dc64c7329ab647f41b,62,0,2.75
4a9f1926e7cb3761adafbd5f4c36c88a,17,1,1.70
cff55b03f2f1bdfb9d157f51e3913fe9,43,1,3.25
f7f9a2f23d81c3ef6c14b3edb0b9d6e7,297,1,2.60
657d878a3e2c981f1989db358c41b5b9,240,1,3.85
0c9e6386de158ed997467f1640186214,310,0,2.00
8c10758df8a679ec1243785422260e40,240,1,2.32
1c3d32c5766fc217d469459a9336bb71,439,1,3.40
18db868d8a3418151b764415ac449c17,154,1,1.85
b0572bbef212d1e33e37807a5187d19d,91,1,2.55
c5b7cff36cd12c69131f00137b682a39,446,1,2.30
f29e200900dc8910afe94d30909ecd0a,110,1,3.25
7ee3d21da074c05b914ff9ed94d8e971,168,1,1.35
fae165b3cea837301aeb68cc232be410,42,0,1.85
2898d9933469554e5c358927cad1701c,188,1,2.45
3255c2d239b9471893a1bffb4617c063,149,0,1.75
ac4e6ce30c8b4be2a49ba9345fbe29fa,200,0,2.30
f45aa771d81ef5e14d2a9ebe22e17b0c,96,1,2.85
3668d2c33f1705cdcd01297d42e542f9,185,0,2.60
6191b5a1e6b39325ed598ba6c02e7f37,112,1,1.60
33ac4a867d7b79b2a09042c7e7f6bfa0,139,1,3.85
894c31a7ddec410b5c9f577aee0e00f1,180,0,2.05
e0f0167b6353c40e84789518cad39f45,14,0,2.10
f7697dde79be760d858d497acc72d857,228,1,2.65
fed7242a3912a5c33ce8138ed136bdd1,27,0,1.30
e2910d8e2975ec85bc3495e8a3079f27,56,0,2.50
8ebe0c43fac116bf37802ea15773d827,28,0,2.35
3e247d6ca02283a61d004a4005e23bad,80,0,3.55
df89a4e39ab1f8d32a623d03e57fc36d,141,0,2.40
a798412ac1d5c2fea5bb344f95fef6da,44,1,2.40
143e7d069b2b70210e56081c23f2069d,126,1,2.60
82d65f5160387ec3cac71762d5097866,34,1,1.80
4271c911e087e1e670298816304131df,65,1,1.85
7380442b29d24e88080a42deefa5c126,51,1,1.95
7f1aa668d032eca2a996ecc90c8b34f8,15,1,2.55
b68d30e86340719e7d3202fe56586ea2,20,0,2.90
f356af98cbd929d5ece697973786fecb,123,0,2.45
482d75b39e1cb9405f709c1b7cf2c4db,75,1,2.60
b2bd7c862f1c81ad864c2373d4939899,396,1,2.45
ce7f4d8cc47f4f15ff6c2074ef994a1d,337,0,3.20
ba39c3b1c6a1606670009ef3f348f386,36,0,1.15
ceda94cc6a943abc1cd54e6ccdf74bf6,38,0,4.10
450a45ba8d285f9a43f9c35d1baa2bbd,6,0,1.45
d2d80500325d201de57eb1f070a6586c,47,0,3.15
363ad6c2fbf167e86aa12eb3f5792f71,374,1,1.95
13f1d6fd87350659dae86014a9e60c30,78,0,2.20
c5b7db3fd85757ca79efc9a956765118,545,0,1.90
46e968ba65a84238b58bb9c700dbbfcf,195,0,2.85
e62c9b7489cef22de97abf7958e69831,239,0,1.65
685b7c3716e7780499611f27f0a99438,17,1,3.85
5f8133fd00edca97b3222ac5d0ebb69d,478,0,2.05
34e3e57135c81176b07a65362f93e7dc,315,1,4.00
862c1403706f38f8a38872551b12e07a,177,1,2.45
ae1bc564c905071e9b15c058677a5349,149,1,2.20
c6988df239efd7e1451315961c913a45,227,1,3.80
9861c7b2a69ead7a85649f9990795ed5,164,0,4.20
3e17d2b2646c71ebe8a74a76f74d9c66,29,1,3.90
91e8c4bf2eee6a219ec36ea8005d7515,94,1,2.60
4273fa1b38c15d1ab76bbba234810a15,11,1,1.80
c52bdc7d899af83ab543be876348e38c,45,0,2.15
6c7fc3ac8e6151eb3785a5a38fb15a3b,75,1,2.60
0e1786fbe2a056224827ef7c95c72e3c,201,0,1.40
83b2b913cac760e7a912132ebd41e073,21,0,2.05
e67b452df92e6fa0d6d7aaf4165a3392,466,0,2.95
feefb32ba90b3e6112842f36179956b2,42,0,2.00
e76d35bd97c00b90be1d84765bd53c68,203,0,4.60
c598e62eb9b9ede2590e0815a603816f,90,0,3.45
0d76845178cd23e2dde4938fba3d2cb7,282,1,2.80
f80644859abfbc92e9a92072c2dc50fa,91,0,3.00
ecf4e45dd32849c6ee0d6bee512a8419,33,0,1.40
edbcc7f49dd7ab5a5816d29fba85cfa5,46,0,2.35
5c5803665c9e7294b2f16ff0a437c3cd,91,1,2.10
d8f3584a90012dca70479b6bf1bf08ef,253,1,4.00
b965e32cd13e12eae3839e2387b6f3d6,306,1,3.95
f2a460d588950c89dbb8807fba037f24,125,1,3.35
1f58d7df4113238b4df347c25466ab0a,65,0,4.25
7f49a7258bf895bcbc73c77f1cc8d05b,102,0,2.42
d7bf18d324e1220689297b8d4a7d2525,15,0,4.21
917c38788ea36d939a7a57d4db35c494,64,1,2.90
f2ff54a2b83d67831349052ec76fbbc1,246,0,2.40
152483cd8dbb049e6d00f543fbd1fae8,736,1,2.55
917636d81e277fb104914eb62a80adc5,12,1,3.65
fa48d798cd70c12293015c297694f25b,53,0,3.50
e6769adaa9438ef03482f87da64403f6,82,1,2.95
a880b3ad0e843d2c98b2e30b63571017,158,0,2.05
e345cf396a06da0c9bc8edc6c89396de,143,1,2.40
ec28bbd6a5b1a04b5eb1dc716b12d058,248,0,1.15
c378f5e18d9df3fcf53fa59e7ceaf386,152,1,2.75
d7b09c0d243ddce023e823324f90f640,95,1,2.60
7f85c234069ef572a0ce135916c529cb,214,1,3.05
3fae935aa0afda0bac121b09f494fad4,151,1,4.85
a500dfbde4f9279aae4a4d1dc6d8175a,15,0,1.25
455ba698be14cbb51f7a04c4a0eeba2c,319,1,4.40
4d88f513817bd15332cf8f49c16e5e81,109,0,2.10
574683dd5a65a746c7bdb9fe766f3208,297,1,2.35
eaf0c7efaefeba0c9651047e29e4c0d3,218,0,2.35
844deb815b7f34477aca573f1fc56398,68,1,1.65
e168c7ef600f12c24a815e761b66fb47,39,0,2.11
24d04617cd7c2b230b3a7717646d3ba9,283,1,3.40
987935184b6b435a263d09917975a0e0,212,1,4.90
16b6a298fbd7f15947b5e8ff78b177b2,55,0,2.65
fdcd3585b45915be422537040f272bdf,43,0,3.45
e2c72097fa20d7d3271a83a1fe0663b0,49,0,3.80
4f05cfd6cda481d86cdedd1bdad02fd7,92,1,2.35
507b7d44c4f1a7a718d48adc66417d4e,38,1,3.30
c5e9070185458949bcea890619a9dd1e,59,1,2.85
20e730750f1e92b67f0943c762cc011e,597,1,1.50
38809db781a5204f07f13d79474d7a40,272,0,3.00
56e82fc5ad33992839505dc85fcca0f6,109,1,3.75
b796f5f61eda6cb5ac60817aecea1646,445,1,2.05
c237f9aa4a4b2b09fb5ec99c79047708,144,1,2.80
e81e59051d605542fee2b60984879208,166,1,3.15
da4346e32da910438ac11e7e1805c644,12,1,2.30
0a4ad7695c1c5cfe831d8f0fe31a85a0,44,1,2.90
0dec91076b6f10ce3393ec02ecc7822e,355,1,3.65
35368b35a1b074b556fc888b14658094,419,0,2.00
98a208d21213e4879fb9482f088ae8c5,6,0,2.40
bfe682dd4e88d814fbd14361ae730644,199,0,2.05
dccd1f2e3e2bddd3d995d2f31ff3f313,236,0,2.45
c1eb96bf3b3755bcf2bcf755eefdda56,42,1,2.30
485f69576f2e9d0dc70384d1555d3a8a,192,1,3.45
eb1c0640bf499bc0cb24f829d95a717b,363,0,2.35
c612e92608fa7bf49bcad3cf38ce29b5,63,0,3.95
777f2d06a503ee722b822c84bb77c619,85,1,3.30
c82d4f19686e5a7aca3d44e6c41305c6,323,1,2.85
65c0c27508531efc5dadb3905e787256,266,1,1.75
f8ef092abd6bf25d8a0928da91fc9f68,185,0,2.25
e99c294759e70f5b8b710c0d7ceaf0d6,180,1,4.35
343893f4ec72ccbd2954b74ae959afd7,184,1,2.70
a060dcee290f07c3485ceee1469ed302,18,0,2.55
d1516859ac7f62993b711ef462da6354,26,0,2.25
61003589b0d04b24fd9e4eb926e7d141,280,0,1.60
270cc44ae98b9bf19a0cbeacaba92252,38,1,2.20
0fbbcc2b2b3249fd5f28333983d97683,142,1,1.90
e4594e50c5201a6c8a6019fb5e47af16,60,0,2.10
dc155e4a9515031220130199a7fe0270,34,0,4.05
5e8486fc088504f987db5340745a1bff,6,0,2.00
8c2f13c0ea37bc5dca1b5fbac486dd8a,92,0,1.95
5c10bb076ced7976d6de7becb4cb3ed1,301,1,3.05
006dd2ba64cabcbb44b2a0ccec4fef59,266,1,4.15
c72d1fefa1b7c3827f91dcea6eea3b14,180,1,3.05
d183a3f6eac16ccbaacefc0192fb27a8,338,0,1.50
c1ef5aff2e08d783ecc772cffa3de550,575,1,2.65
2a003619ed1cfa895f8b7b3ad9451f49,188,0,3.50
250a269b6bc2d6ae6fbfcf37dcd8999b,58,0,2.10
3a367cf6ee04bfcbf84c02291b480b31,635,0,2.20
d0c13666134e46fd7ded648bc306ad54,326,0,1.35
53a67fe849b91679a0fb67ab2d41b6a4,18,0,3.10
5be92f18d9e24c6be26f5e4e368c66f4,166,1,2.45
ad463bf3519f192cbcedf78017f0df0c,284,1,2.20
d2ff1230c7c92adb9fb557a5ebf64015,11,0,2.10
3fb8c37f9789f085de1477746f612532,354,0,1.30
ebd3e6a8f6d7bca6cece361dc22668b4,200,1,2.00
517ba20031c31312313d2d696959ba4d,137,0,3.45
d2642f4e63663002926775dc7361d64d,172,1,2.50
1cdd9cf3f5420f1a190200640e39ebf0,45,1,2.47
6e2b38abfd32d966c121cb065b19507d,103,1,3.05
1c8116798fe4efee0bc86d71927400d9,82,1,2.05
71a95b7fab1fe3dc6eed38f3f26ca0e9,39,0,2.95
669f5d0cecdbe9538b01bf30420c66bc,84,0,2.35
252b1ee945305fdae1448d97ddfe63f8,202,1,1.15
940ffe5e327d48f998282c2fc1fe0343,16,0,2.10
9f31332f2d76a25efc6af05a353ee9bd,43,1,2.40
6446d8555111ee3a45aaf21453bb5bc2,873,1,4.00
fbd17563c4dbeb6d2bb6a7cd3bcc0bf8,136,1,3.05
8d62f9410bae0aa9f31c375f03385efb,552,0,1.35
dd62280aeeca261365568f54453b1d1c,74,1,3.65
dc20f5b91f427d65c9fdbab6d45c8bc2,136,1,2.70
2cf899da3c6f677ddede4422c21ff640,304,0,2.75
2ebddbc4804c5e78c04418edbb0a4a54,111,1,3.00
74793ea80a4ed70f8a829abc872039fa,38,0,1.85
bb8410581e97ddca803feefab8d7dff6,300,0,2.40
9e031cb38f883b0621faf0936b886634,120,1,2.80
ecb4bff605f1028a807ef19d21dbd25f,108,1,1.45
a6ff7a1f755c7d6ae28ba2bf0e34f74e,331,1,2.90
501d0883a7bb50aade21ae8c43740151,189,0,2.84
437de83d7ca186334c4a542d8b2daf5f,22,0,2.74
4942688ae47f002fbfdea0c2c16fcea0,8,1,2.45
2cb65d459fffd8c24d47cc35a41cb8cf,44,1,2.55
5a5a94d35dc9a5537a4a7c23d3080c29,140,1,1.65
d1fee895cdbc2d36bf7ae30033e99e85,75,1,2.15
873fbcb67c0d22f234422d6fcb5e253d,846,1,2.70
07b792be213dca8a3a6e5c915550da8d,19,0,1.60
618da9691f1c0fece7c005e83acc055f,16,1,3.40
881556cf54ec9ff4e5f0f15a36060bc9,160,0,2.15
f9681fca99c62a0098d569d8a9d46620,29,0,1.55
1ae7d4a3c6e18d4e1d9759c45e75fd3c,586,1,4.75
6fd28b4365bc16ee4094947edb8bb586,117,0,2.00
deb780a820f1854c5b37ab8b0f8bb8ca,648,0,2.35
de5f30824b3076c38c460c4b25c93bbe,71,0,1.70
cbc2b5f1c5684a023127fb8c38512959,728,1,3.55
0e8a36e96ac9d7988fde58aa7bca7607,85,1,2.53
b24ac48ac298e2cfb507f6313de0327d,90,0,2.45
27b7d965de0a93b74a37ec142a1ca7e5,12,1,2.20
b119ed210c0b54c9092c8396966ab76f,83,1,2.53
4f7de72b8f522a08c19b67098e7eb3bf,525,1,1.60
c82418fa667a79626c51a9385f74a0f1,35,0,1.55
c9734ec605325befcd557de46b59c03b,49,1,1.55
a93a659e259e6c8b89488d1ecacbb985,132,1,4.80
a1ba4dcd9e5105f56df3a6a4703d4cc1,63,1,3.45
1afe79ca7df1fdf4ee412a4480b388d0,54,0,3.20
e3b1e7c9ff832bbce8dd353bdb54e06b,294,1,3.00
7e262fbbf98b4b08d999b3fe81a9faf0,93,0,1.30
fae7c1bc1b4fa62aa340ad42d28f7c4e,10,0,2.00
329eea72acb8d2a73c3e02263bd7804f,98,1,2.60
1a735c82aea9aaaaba66bb1ebc48adae,73,0,2.15
cce50ebdaf2e1c48b38bb07bf2b5107f,160,0,1.45
fc59fff59bfcce559ed2c942fce5160c,423,1,2.25
2f39fc19e9b0e7fbebec1cb300b94597,157,0,2.65
baa38b1f98a2acc838acb976a835cc7c,258,1,1.65
a25f29c945aa9ffea54a0bf95c3bde8c,81,1,2.65
20925235bc14c51140854e7b24306369,53,0,1.80
54a2b93520e2d1fb1347e996ac6db5b5,11,0,2.95
b35ce9ea07b21eb719c1629f16e9e834,189,0,2.40
9a8795bfc819bd8e71fdb73666da3d80,108,1,3.20
f8ac4db038c6303f0c5c60e6bafa7b8b,9,0,2.60
cd6239a29aa5b9861cfdd118b11a69c3,295,1,2.35
0d20bd8e89d89f1d2c73aba939349a29,83,1,2.30
97f080d11c1149aa17eb15b59fb0dad7,117,1,4.10
9a9edc60d2bfd9240c21bdfca4591a82,59,1,2.95
f45013db0adb5b8198f9ee0088b60747,72,1,2.90
f355c602154ded2093e832f919627ddb,120,1,2.95
ade12a8b3c89ded548a4a6b18a4c9b16,373,1,1.68
2caf376cadebbe15970149607a58d022,43,0,2.60
b81d8cbd275caf5765f66bb019fc0b73,205,1,1.95
0712d381c9b1ffdfec50005934277437,43,0,1.80
0bc11d867cfde9d6a703ae4b5f6e9c71,22,0,2.30
98824c435f33100c4a04ff86e8a50d6d,132,0,2.10
e9765eeaaf0fcf57fb2db49ec7ebf584,37,1,3.65
cd79cc2300554faa57943d8639b6a588,16,0,3.80
4ec5e9daeeef4293a9707e54d43c4570,12,1,2.05
3d4b3ebf8dc1e006b764e48673384a60,127,1,3.50
35fc002c5085b470142629bff26179d0,11,0,3.80
5e9eb73ac0e084137c5dbd1092554a9e,27,0,2.15
89151d41d65a69a44c2be2b40a760f56,35,1,2.95
30481bb628609059e36f973ce94afbb4,103,0,2.50
dd701cf37a576f9e495d23d932dfc42f,209,0,2.55
32caf6d79ab184f314f4ff88b72077e3,8,0,1.85
4f63802161d8edd39245f1eb6a1057a4,985,1,3.53
732fce1587109a59ca921a9bf7fce4c7,182,0,2.37
4aa368d924395f54395ed0f3eb13e317,28,0,2.00
44b42343b5a09ac397089288a9c8124d,33,1,3.35
4456e5870e95c5fde1f0c44688d2225d,39,0,2.75
23e24300bed4d467cf8a6604d3c7ea84,179,0,3.05
48fd2523723b8d85439c2d38f07347ec,338,1,2.75
0b6acff9ed0f41714dc221f416513c28,98,0,2.53
d6d9584d49bfb2f6c1d736d20b8bc914,14,0,4.20
118fc9c831b5fcefa279055791a131f7,233,0,2.26
909e205fe75b12b675a1e81c6eba3f4f,220,1,3.79
daa61aa1e1b4036bfc39450576852cc3,53,0,2.40
416c9d089e80c9033bf7eba98363c235,26,0,2.65
bced549776407f5770ca70740a2d83a5,41,0,2.00
959e155a1ffada34dbfebc5be354cc34,22,0,2.70
241083d645b0f65c65d12215c19e24bd,33,0,3.30
b04e8d33d065f6be9daf425a1e948a45,232,0,1.65
f87dd28e07a53ab15b930e07d8ca7e64,72,0,2.90
597937dee69b5cdc25a83474816d1e54,64,1,3.70
fa55f382add25137b50af6fbefd77798,118,1,2.25
69b5700c5063c14557689d9387c8e6f9,254,1,2.60
cc152d32bc005844df9e36490342cbaa,144,1,2.30
e5c2eb4620b1a856dde6ac4114099c55,206,1,3.47
a4a94a0b63441e4a096d85d0ed7be6f6,111,1,2.55
ddaf1fbeae24c24f5e01ab098fd69cd5,102,1,4.05
cd6eb91c5ff7ede0178a823f5400e01e,164,1,2.40
f4c0b6d7049526a735f48f79fb2bd9ef,56,0,3.40
e14ed334fef0834f91606cb609556d02,189,0,2.45
6237797d784ccb30b80423d0e118ca9f,179,0,2.20
f03872d39d200b69fb2729bff960448a,121,1,3.60
380d09b9df2e304b20f0f76059575061,312,1,3.40
6ee81b8f4f3b7b7b1f1ba83cb25f69ed,26,0,1.42
694433241a0b9af16af21bc22f7a8f17,164,1,2.65
751e35cd65cfcd2159af92be9e20fb9e,29,1,1.79
97c83690365b2ec7ce0f3199aa5ead11,286,0,2.10
f91103a53ae4598fcf605906eb94e472,483,1,1.65
5e749ebf8de70168ac8b0a9fea2efe0c,121,0,2.40
dde7965a9e978ceb23b4f94f074c7a65,106,0,1.95
1871077e2a54e95ab37fe7b010d31716,17,0,3.15
5fb6ff12f4acf1fdf918fe128d4dcbad,16,0,2.00
42e8821220fc9d10a08b2f3b732fe1b9,145,0,3.00
5c1f11780408e6ff37793d4d4ffb60c2,277,0,3.30
58748a087b3e41086f8c92f22f5763c6,52,1,2.65
4e3e60508d42e8e24183017cd5149efd,26,1,2.45
36fdbae0dc798fada00ebfb5fc48c2ed,489,0,3.47
f376f77920787333bc2243282aa321bf,362,1,4.95
67b62658bc5c02a0a2153619fbbd5bbc,238,1,1.80
ab1fbe754601f72e057a4312aee9e6e0,19,0,1.40
a7ac5d674093a669453f7c8b328d4a8d,141,1,2.35
104a961197d1906f9b293e125c6ce31c,54,1,2.79
ef17dc23a87d97ef64115785b15fd5f4,13,0,3.35
05416314f0e4a844095a3235b2b43914,20,0,2.40
3460ba8e5b00bfbef258ff993bd4cf12,106,1,2.75
3f26ad14bdf792c15f9e92fd3d200234,353,1,1.40
7db0849978bea4b63388fe992706271e,115,1,3.00
847743151497b9c3100e464a65cc6577,7,1,4.35
43f51b9436eb0782169148b4c52b9740,37,1,4.00
e56ad0c1d593e95c64a30872f20001f2,239,1,4.30
bf451c195612a70f364e5364e5961e84,153,1,3.60
7fbb9243047dc034ea3530dc9e9a053e,355,1,2.60
9e5f20bdfe4ed8112cc50037627a0aa4,162,1,3.75
88dc538b211cf7a99a2bacc79e57e1a8,123,1,3.30
5bfa4986a9f8cf33d8830630d88dd180,418,1,3.15
92c517291ee85995a81cafda69092ac8,152,1,1.55
aa18455dd63630b1bc9cfece794c554b,49,1,2.90
cb9fa802761a6153314afd76497be590,129,1,1.35
9ddd4520f0586251d9f58b9327e01d61,191,0,2.05
bc92fa63caf86c74e411ee6e9ffc39db,16,0,1.35
e1378234e2eac9da4f89e68f1754f230,426,0,2.00
c39fa2c0278686b92c865d1017122d3e,38,1,2.95
6efdc3b2587ae44bb4d51ec5b57e31d7,30,1,2.95
b3df0d3c23fd5ab8fbe78eabce1c77db,85,0,1.95
a236b6be00891d21fea87e6486f816fd,296,1,2.65
1cdf6cba7c871f37ca46f4c51532969c,112,1,2.80
2de3ae491bf18de17cf4c6c91e4b6301,55,1,1.70
748910a7e92c7d6f2d51e650825e53b2,116,1,3.30
eac21d2693bdab0fd239f38d39ae7b36,10,0,1.50
35cc88028963de2c1af3abf604078983,121,1,3.20
33d45d88ef5b4c7093927eba9f38f31f,365,0,1.65
6d241ea606ef5d87ed2d9e0d68da2914,15,0,2.80
f8a7ebe81fa7a17a63ac04d3e2681923,183,1,4.40
5f65bcc2cb7f03fd197cddf8587b04d7,51,1,1.75
49976c02c8fad85f95bed0c0c7311931,232,1,3.50
874747e7c4de5c005f2451a880548c3c,120,1,2.30
35fd4a26580394b490ee56dba83e4890,307,1,3.80
ffb77a9cd8e1e5df3c5a22651b1d26ae,52,0,3.40
44033c917bbe98a4e99827444c509fcb,309,1,2.25
037bceb5f9b435c87f78fd83078a1a2d,140,1,3.35
82ee22bffa095f18b56f99840c5efae3,475,1,3.15
2acbf0fced743051cb0ad727398982b7,314,1,3.05
a205bc0931ed74fcb84e6dacad35a1f6,153,0,1.35
80185ff66339c9e8055861df6b1c9fa2,77,0,1.85
8a59481b6f16e30fa68fffacd2e82b77,434,1,2.90
387cf1f761325995a998250437d5b864,9,0,3.90
19f3c57b5eeca99bf61bc2afe5c7b909,32,0,4.55
94183d41d093c0deca311dd637ff1a78,77,0,2.60
5547b3e0c1dade6440f1f840cc7ae934,40,0,1.25
bf7a0d87b447b014447960e40b7cba7b,507,0,2.20
4dcac73f971e39c661f2b8f55bc5420c,15,1,4.05
077788f6b7219f3bd2013a7395457fda,295,1,3.40
59d0426e8fb84147762e8b796e71b303,248,1,4.10
9e9e1c35dbccfb2a2118a2cf26575ab8,317,1,3.00
401b081a2011c813fb5f6640a287e7cc,23,0,4.00
f7f79ad4a9041763a027ef69eff6330f,120,0,3.75
09dd875004209b88c10ee5ee6666e877,55,0,1.50
b72807a7ac40722cfb5b282f5b3d4900,26,1,2.25
7268b8fe5aa889cc0259859b956910cf,10,1,2.60
f72c2e14358e1375c8099ea6d1f8efbe,141,1,2.10
1304e0583ed466724c9e6dc073461f7b,45,1,1.00
2dd8bd0d55f341745d3ca5dacf9d9be2,48,1,3.21
40feb002dd2ca5d886d8648546fc4214,873,1,4.20
3e1c7a70ca84fcb8ad4c5a25d7f4fd7e,95,1,4.70
2fb1c480a2d1a8203bef424db2fc1fb3,68,1,2.20
2f3131ebffcd0291d2b8ab00f00d8751,309,0,1.85
68976a546678fc1ec61b8fe24c961bfc,65,0,2.90
4c65e70dfb242bf28286eab825d558d6,255,1,2.50
8fa298eef40ccce7ac3ca196bd3fabb1,51,1,2.40
91046b3abebb94fddbf7c800cdfacdef,173,0,3.30
87149db0a555035a060ad749417f61b4,46,0,1.60
18386a5bd4efa7b3811e7098e41a8889,49,0,2.26
45b459962e344cae577c529ba7d60e35,156,1,2.45
69550686bdd520348dc5ae28a3490fe2,51,1,1.75
c1038615465debc66ce3be83727459e4,76,1,2.10
4660e3eab2d1fcf75d77ae7a7e4b3a9f,7,0,1.95
